id,path_id,name,geolocation_id
5,3,start,52
6,3,article,67
7,3,wear,78
8,3,end,55
9,4,start,12
10,4,if,18
11,4,control,80
12,4,end,41
13,5,start,61
14,5,over,68
15,5,international,83
16,5,end,78
17,6,start,90
18,6,wish,63
19,6,few,90
20,6,end,16
21,7,start,43
22,7,hold,36
23,7,major,61
24,7,end,29
25,8,start,82
26,8,will,100
27,8,ground,99
28,8,end,5
29,9,start,27
30,9,candidate,21
31,9,newspaper,71
32,9,end,94
33,10,start,66
34,10,goal,32
35,10,billion,84
36,10,end,45
37,11,start,21
38,11,local,50
39,11,worry,46
40,11,end,36
41,12,start,65
42,12,property,70
43,12,ten,54
44,12,end,69
45,13,start,64
46,13,leg,82
47,13,his,52
48,13,end,8
49,14,start,29
50,14,us,95
51,14,feeling,96
52,14,end,5
53,15,start,44
54,15,music,23
55,15,above,10
56,15,end,53
57,16,start,42
58,16,live,36
59,16,reason,58
60,16,end,20
61,17,start,6
62,17,perform,80
63,17,too,50
64,17,end,79
65,18,start,102
66,18,place,35
67,18,look,94
68,18,end,86
69,19,start,51
70,19,big,69
71,19,employee,81
72,19,end,62
73,20,start,99
74,20,young,76
75,20,population,55
76,20,end,48
77,21,start,67
78,21,any,8
79,21,heavy,62
80,21,end,98
81,22,start,44
82,22,treat,103
83,22,personal,90
84,22,end,81
85,23,start,31
86,23,cup,101
87,23,make,27
88,23,end,59
89,24,start,101
90,24,foreign,30
91,24,open,65
92,24,end,58
93,25,start,65
94,25,local,95
95,25,pressure,76
96,25,end,13
97,26,start,82
98,26,discuss,43
99,26,out,96
100,26,end,36
101,27,start,54
102,27,improve,47
103,27,technology,70
104,27,end,42
105,28,start,29
106,28,significant,28
107,28,stand,66
108,28,end,68
109,29,start,85
110,29,worry,58
111,29,lay,96
112,29,end,41
113,30,start,93
114,30,expect,101
115,30,reveal,100
116,30,end,31
117,31,start,45
118,31,already,50
119,31,although,54
120,31,end,91
121,32,start,15
122,32,condition,54
123,32,protect,84
124,32,end,103
125,33,start,37
126,33,two,83
127,33,save,9
128,33,end,57
129,34,start,45
130,34,collection,39
131,34,cup,102
132,34,end,14
133,35,start,66
134,35,show,13
135,35,suffer,12
136,35,end,33
137,36,start,5
138,36,prove,47
139,36,after,20
140,36,end,18
141,37,start,8
142,37,one,80
143,37,her,97
144,37,end,44
145,38,start,87
146,38,you,11
147,38,five,53
148,38,end,43
149,39,start,103
150,39,compare,78
151,39,some,54
152,39,end,52
153,40,start,49
154,40,major,41
155,40,tell,31
156,40,end,41
157,41,start,49
158,41,point,46
159,41,group,94
160,41,end,59
161,42,start,71
162,42,order,92
163,42,win,95
164,42,end,13
165,43,start,31
166,43,forward,86
167,43,consider,57
168,43,end,24
169,44,start,44
170,44,real,51
171,44,economic,37
172,44,end,27
173,45,start,45
174,45,trouble,58
175,45,nation,67
176,45,end,80
177,46,start,14
178,46,will,69
179,46,year,43
180,46,end,85
181,47,start,5
182,47,history,40
183,47,trouble,8
184,47,end,53
185,48,start,93
186,48,bed,102
187,48,court,78
188,48,end,95
189,49,start,76
190,49,four,96
191,49,Democrat,59
192,49,end,80
193,50,start,101
194,50,compare,60
195,50,son,82
196,50,end,11
197,51,start,75
198,51,system,20
199,51,represent,68
200,51,end,96
201,52,start,5
202,52,everything,101
203,52,draw,45
204,52,end,26
205,53,start,45
206,53,then,83
207,53,positive,53
208,53,end,97
209,54,start,103
210,54,age,90
211,54,she,88
212,54,end,74
213,55,start,65
214,55,standard,58
215,55,activity,49
216,55,end,62
217,56,start,63
218,56,green,38
219,56,meeting,77
220,56,end,73
221,57,start,58
222,57,drive,31
223,57,each,39
224,57,end,45
225,58,start,22
226,58,issue,35
227,58,increase,20
228,58,end,79
229,59,start,31
230,59,tax,99
231,59,hundred,23
232,59,end,32
233,60,start,42
234,60,decade,80
235,60,front,36
236,60,end,45
237,61,start,8
238,61,bed,66
239,61,high,54
240,61,end,30
241,62,start,84
242,62,tend,41
243,62,right,50
244,62,end,30
245,63,start,71
246,63,forget,9
247,63,above,91
248,63,end,29
249,64,start,78
250,64,where,71
251,64,language,43
252,64,end,9
253,65,start,43
254,65,practice,56
255,65,factor,12
256,65,end,73
257,66,start,42
258,66,reflect,53
259,66,language,78
260,66,end,104
261,67,start,81
262,67,weight,29
263,67,discussion,40
264,67,end,100
265,68,start,62
266,68,thought,53
267,68,major,37
268,68,end,13
269,69,start,87
270,69,maybe,81
271,69,check,61
272,69,end,15
273,70,start,10
274,70,drug,26
275,70,form,71
276,70,end,18
277,71,start,7
278,71,series,101
279,71,sound,16
280,71,end,16
281,72,start,51
282,72,list,30
283,72,discuss,61
284,72,end,28
285,73,start,79
286,73,oil,49
287,73,growth,92
288,73,end,102
289,74,start,23
290,74,big,86
291,74,high,22
292,74,end,66
293,75,start,96
294,75,wind,70
295,75,perform,90
296,75,end,29
297,76,start,61
298,76,step,83
299,76,region,20
300,76,end,71
301,77,start,86
302,77,why,73
303,77,scientist,35
304,77,end,9
305,78,start,31
306,78,true,104
307,78,its,23
308,78,end,33
309,79,start,52
310,79,responsibility,79
311,79,onto,99
312,79,end,37
313,80,start,26
314,80,continue,93
315,80,hit,93
316,80,end,89
317,81,start,56
318,81,stuff,34
319,81,garden,17
320,81,end,44
321,82,start,32
322,82,image,101
323,82,data,44
324,82,end,43
325,83,start,88
326,83,language,69
327,83,school,12
328,83,end,60
329,84,start,21
330,84,TV,50
331,84,position,25
332,84,end,58
333,85,start,10
334,85,though,5
335,85,none,95
336,85,end,100
337,86,start,29
338,86,blood,63
339,86,address,84
340,86,end,11
341,87,start,16
342,87,site,22
343,87,successful,70
344,87,end,5
345,88,start,88
346,88,parent,45
347,88,treatment,56
348,88,end,9
349,89,start,99
350,89,personal,57
351,89,free,28
352,89,end,14
353,90,start,27
354,90,quite,23
355,90,member,36
356,90,end,44
357,91,start,99
358,91,teacher,19
359,91,despite,75
360,91,end,39
361,92,start,67
362,92,visit,89
363,92,unit,13
364,92,end,73
365,93,start,93
366,93,pull,78
367,93,time,33
368,93,end,68
369,94,start,48
370,94,pull,33
371,94,can,38
372,94,end,34
373,95,start,78
374,95,person,74
375,95,probably,71
376,95,end,85
377,96,start,29
378,96,happy,10
379,96,such,98
380,96,end,34
381,97,start,12
382,97,knowledge,96
383,97,huge,101
384,97,end,39
385,98,start,96
386,98,garden,6
387,98,successful,51
388,98,end,70
389,99,start,7
390,99,get,48
391,99,world,90
392,99,end,8
393,100,start,20
394,100,between,89
395,100,kitchen,18
396,100,end,96
397,101,start,100
398,101,agree,66
399,101,realize,40
400,101,end,42
401,102,start,53
402,102,term,79
403,102,make,16
404,102,end,15
405,103,start,85
406,103,total,93
407,103,thus,30
408,103,end,32
409,104,start,6
410,104,size,96
411,104,instead,72
412,104,end,46
413,105,start,78
414,105,leader,33
415,105,read,98
416,105,end,12
417,106,start,57
418,106,heart,19
419,106,policy,25
420,106,end,91
421,107,start,100
422,107,professional,51
423,107,truth,42
424,107,end,60
425,108,start,86
426,108,cause,80
427,108,choice,93
428,108,end,96
429,109,start,22
430,109,mention,31
431,109,stage,80
432,109,end,20
433,110,start,23
434,110,financial,75
435,110,building,71
436,110,end,94
437,111,start,73
438,111,election,86
439,111,edge,80
440,111,end,23
441,112,start,91
442,112,window,20
443,112,friend,70
444,112,end,19
445,113,start,68
446,113,than,103
447,113,travel,62
448,113,end,84
449,114,start,104
450,114,answer,97
451,114,thing,97
452,114,end,62
453,115,start,81
454,115,forward,59
455,115,picture,100
456,115,end,36
457,116,start,16
458,116,rest,68
459,116,detail,82
460,116,end,54
461,117,start,40
462,117,leave,71
463,117,I,103
464,117,end,104
465,118,start,55
466,118,kitchen,30
467,118,small,89
468,118,end,26
469,119,start,74
470,119,cell,39
471,119,remain,24
472,119,end,45
473,120,start,102
474,120,mind,79
475,120,small,64
476,120,end,65
477,121,start,84
478,121,movie,86
479,121,end,65
480,121,end,63
481,122,start,61
482,122,effect,42
483,122,apply,82
484,122,end,25
485,123,start,10
486,123,onto,21
487,123,should,26
488,123,end,37
489,124,start,87
490,124,near,56
491,124,be,92
492,124,end,33
493,125,start,24
494,125,significant,101
495,125,hope,78
496,125,end,70
497,126,start,41
498,126,later,78
499,126,reach,48
500,126,end,7
501,127,start,86
502,127,budget,15
503,127,remain,69
504,127,end,97
505,128,start,65
506,128,also,73
507,128,sport,28
508,128,end,41
509,129,start,68
510,129,public,27
511,129,main,27
512,129,end,14
513,130,start,83
514,130,letter,76
515,130,present,69
516,130,end,60
517,131,start,7
518,131,executive,31
519,131,listen,88
520,131,end,88
521,132,start,22
522,132,hit,30
523,132,attention,83
524,132,end,88
525,133,start,61
526,133,only,67
527,133,carry,46
528,133,end,73
529,134,start,26
530,134,know,84
531,134,kind,85
532,134,end,43
533,135,start,46
534,135,great,41
535,135,ability,102
536,135,end,88
537,136,start,79
538,136,final,38
539,136,several,95
540,136,end,40
541,137,start,52
542,137,hotel,17
543,137,effect,11
544,137,end,8
545,138,start,49
546,138,fire,48
547,138,executive,90
548,138,end,31
549,139,start,80
550,139,service,43
551,139,write,36
552,139,end,20
553,140,start,73
554,140,role,52
555,140,focus,5
556,140,end,71
557,141,start,70
558,141,third,64
559,141,good,26
560,141,end,29
561,142,start,54
562,142,power,23
563,142,street,65
564,142,end,42
565,143,start,44
566,143,build,27
567,143,hit,101
568,143,end,84
569,144,start,5
570,144,people,36
571,144,population,24
572,144,end,55
573,145,start,99
574,145,then,54
575,145,doctor,21
576,145,end,92
577,146,start,85
578,146,upon,44
579,146,but,8
580,146,end,5
581,147,start,11
582,147,firm,6
583,147,argue,38
584,147,end,70
585,148,start,72
586,148,red,13
587,148,might,12
588,148,end,56
589,149,start,75
590,149,fire,12
591,149,new,99
592,149,end,79
593,150,start,76
594,150,create,26
595,150,election,58
596,150,end,99
597,151,start,101
598,151,industry,56
599,151,time,86
600,151,end,49
601,152,start,94
602,152,owner,53
603,152,approach,67
604,152,end,86
605,153,start,33
606,153,guy,45
607,153,evening,44
608,153,end,85
609,154,start,50
610,154,key,26
611,154,within,49
612,154,end,64
613,155,start,32
614,155,the,24
615,155,mother,63
616,155,end,37
617,156,start,20
618,156,campaign,25
619,156,possible,54
620,156,end,74
621,157,start,19
622,157,skill,59
623,157,training,40
624,157,end,87
625,158,start,5
626,158,speech,103
627,158,simply,9
628,158,end,52
629,159,start,45
630,159,single,65
631,159,reality,23
632,159,end,88
633,160,start,15
634,160,increase,48
635,160,lose,55
636,160,end,99
637,161,start,87
638,161,woman,24
639,161,stop,95
640,161,end,41
641,162,start,37
642,162,half,87
643,162,maintain,68
644,162,end,62
645,163,start,13
646,163,step,37
647,163,lot,77
648,163,end,69
649,164,start,21
650,164,scene,80
651,164,challenge,86
652,164,end,89
653,165,start,67
654,165,behind,102
655,165,attack,38
656,165,end,87
657,166,start,80
658,166,that,90
659,166,none,61
660,166,end,56
661,167,start,52
662,167,perhaps,64
663,167,nearly,65
664,167,end,81
665,168,start,53
666,168,worker,15
667,168,easy,48
668,168,end,65
669,169,start,67
670,169,program,70
671,169,perform,18
672,169,end,15
673,170,start,66
674,170,technology,34
675,170,important,62
676,170,end,28
677,171,start,81
678,171,every,101
679,171,election,64
680,171,end,68
681,172,start,74
682,172,case,40
683,172,also,16
684,172,end,66
685,173,start,98
686,173,sign,44
687,173,thought,30
688,173,end,72
689,174,start,90
690,174,trial,67
691,174,huge,44
692,174,end,51
693,175,start,55
694,175,professional,72
695,175,piece,78
696,175,end,17
697,176,start,33
698,176,although,32
699,176,body,24
700,176,end,45
701,177,start,80
702,177,wonder,60
703,177,bed,36
704,177,end,93
705,178,start,103
706,178,anything,85
707,178,class,47
708,178,end,58
709,179,start,8
710,179,set,93
711,179,he,44
712,179,end,26
713,180,start,90
714,180,interesting,86
715,180,reflect,22
716,180,end,73
717,181,start,34
718,181,nation,12
719,181,everything,100
720,181,end,60
721,182,start,43
722,182,artist,53
723,182,specific,83
724,182,end,23
725,183,start,12
726,183,word,22
727,183,gas,36
728,183,end,59
729,184,start,52
730,184,memory,51
731,184,understand,82
732,184,end,40
733,185,start,43
734,185,still,17
735,185,commercial,16
736,185,end,54
737,186,start,47
738,186,structure,102
739,186,tend,38
740,186,end,40
741,187,start,99
742,187,heart,74
743,187,campaign,86
744,187,end,70
745,188,start,17
746,188,also,90
747,188,could,64
748,188,end,12
749,189,start,66
750,189,listen,41
751,189,through,64
752,189,end,18
753,190,start,36
754,190,dog,51
755,190,party,61
756,190,end,18
757,191,start,64
758,191,imagine,20
759,191,American,69
760,191,end,37
761,192,start,47
762,192,whole,35
763,192,but,34
764,192,end,48
765,193,start,82
766,193,meet,34
767,193,close,94
768,193,end,64
769,194,start,16
770,194,eight,24
771,194,myself,79
772,194,end,26
773,195,start,102
774,195,serious,34
775,195,its,89
776,195,end,84
777,196,start,45
778,196,material,100
779,196,its,47
780,196,end,8
781,197,start,54
782,197,center,65
783,197,people,19
784,197,end,23
785,198,start,19
786,198,five,85
787,198,cut,58
788,198,end,32
789,199,start,90
790,199,step,45
791,199,lose,10
792,199,end,61
793,200,start,32
