id,trip_id,bus_id,from_time_going,to_time_going,from_time_return,to_time_return,date_start,date_end,status,type,event
2,159,b42ae0d0-be7c-4721-be0d-30f3adf50818,15:24:20,20:04:28,06:39:43,15:40:54,2023-10-30,2023-10-30,pending,all,stopped
3,124,b42ae0d0-be7c-4721-be0d-30f3adf50818,13:41:19,20:20:02,04:32:46,16:08:35,2023-10-31,2023-10-31,pending,all,stopped
4,165,b42ae0d0-be7c-4721-be0d-30f3adf50818,06:08:23,09:49:38,09:58:52,20:58:37,2023-11-01,2023-11-01,pending,all,stopped
5,97,b42ae0d0-be7c-4721-be0d-30f3adf50818,01:02:43,15:52:55,03:05:31,18:03:22,2023-11-02,2023-11-02,pending,all,stopped
6,94,b42ae0d0-be7c-4721-be0d-30f3adf50818,00:00:42,05:27:40,19:35:43,21:32:26,2023-11-03,2023-11-03,pending,all,stopped
7,54,97300a7b-9ebf-4882-bf71-13931ece72c8,09:29:27,18:18:24,01:44:10,03:57:52,2023-10-12,2023-10-12,pending,all,stopped
8,133,97300a7b-9ebf-4882-bf71-13931ece72c8,06:28:29,23:15:25,05:49:41,15:45:30,2023-10-13,2023-10-13,pending,all,stopped
9,197,97300a7b-9ebf-4882-bf71-13931ece72c8,05:42:33,09:38:23,03:39:58,15:23:10,2023-10-14,2023-10-14,pending,all,stopped
10,96,97300a7b-9ebf-4882-bf71-13931ece72c8,00:37:06,17:05:28,00:51:49,11:51:57,2023-10-15,2023-10-15,pending,all,stopped
11,121,97300a7b-9ebf-4882-bf71-13931ece72c8,07:53:42,19:46:56,05:51:01,16:32:24,2023-10-16,2023-10-16,pending,all,stopped
12,148,6b81a4be-57a2-476e-bc35-c805298e6680,16:40:04,19:31:23,22:12:54,23:12:34,2024-07-10,2024-07-10,pending,all,stopped
13,31,6b81a4be-57a2-476e-bc35-c805298e6680,07:36:05,16:10:17,08:04:19,19:56:15,2024-07-11,2024-07-11,pending,all,stopped
14,194,6b81a4be-57a2-476e-bc35-c805298e6680,17:43:54,18:01:19,01:45:37,06:39:54,2024-07-12,2024-07-12,pending,all,stopped
15,12,6b81a4be-57a2-476e-bc35-c805298e6680,05:15:39,22:05:33,01:49:02,02:19:10,2024-07-13,2024-07-13,pending,all,stopped
16,84,6b81a4be-57a2-476e-bc35-c805298e6680,01:40:25,09:37:23,11:51:18,15:13:00,2024-07-14,2024-07-14,pending,all,stopped
17,188,7e49fb35-5d38-4caf-bc2a-a92fdb059df9,07:33:16,17:13:52,04:55:42,06:18:09,2024-09-17,2024-09-17,pending,all,stopped
18,15,7e49fb35-5d38-4caf-bc2a-a92fdb059df9,04:50:00,15:59:08,05:11:42,07:07:12,2024-09-18,2024-09-18,pending,all,stopped
19,72,7e49fb35-5d38-4caf-bc2a-a92fdb059df9,06:20:03,12:02:44,04:09:45,17:26:20,2024-09-19,2024-09-19,pending,all,stopped
20,151,7e49fb35-5d38-4caf-bc2a-a92fdb059df9,00:00:51,21:58:06,19:07:00,19:58:37,2024-09-20,2024-09-20,pending,all,stopped
21,5,7e49fb35-5d38-4caf-bc2a-a92fdb059df9,11:01:35,12:56:03,15:16:04,15:17:46,2024-09-21,2024-09-21,pending,all,stopped
22,9,b7312030-5918-420b-b71c-99ec4d199ed2,18:45:52,21:22:12,14:37:24,21:38:45,2024-09-12,2024-09-12,pending,all,stopped
23,60,b7312030-5918-420b-b71c-99ec4d199ed2,00:58:23,03:54:18,10:23:22,19:22:29,2024-09-13,2024-09-13,pending,all,stopped
24,87,b7312030-5918-420b-b71c-99ec4d199ed2,00:25:12,11:39:32,01:26:17,12:37:16,2024-09-14,2024-09-14,pending,all,stopped
25,126,b7312030-5918-420b-b71c-99ec4d199ed2,04:19:05,05:24:08,04:12:46,13:05:45,2024-09-15,2024-09-15,pending,all,stopped
26,116,b7312030-5918-420b-b71c-99ec4d199ed2,04:20:06,04:30:18,11:06:48,12:59:55,2024-09-16,2024-09-16,pending,all,stopped
27,169,35bc84af-3368-4c7f-9844-df30853d2244,12:34:41,18:12:33,14:52:31,21:48:23,2024-01-16,2024-01-16,pending,all,stopped
28,40,35bc84af-3368-4c7f-9844-df30853d2244,09:36:13,12:02:35,00:52:46,14:17:04,2024-01-17,2024-01-17,pending,all,stopped
29,37,35bc84af-3368-4c7f-9844-df30853d2244,04:46:39,14:01:43,19:08:14,19:55:31,2024-01-18,2024-01-18,pending,all,stopped
30,166,35bc84af-3368-4c7f-9844-df30853d2244,16:09:01,23:44:53,11:50:43,15:21:17,2024-01-19,2024-01-19,pending,all,stopped
31,13,35bc84af-3368-4c7f-9844-df30853d2244,06:35:01,18:23:43,09:04:39,22:45:25,2024-01-20,2024-01-20,pending,all,stopped
32,173,ce408c38-dc79-4fb0-b238-627605e37e43,11:10:27,18:15:41,03:21:35,04:29:00,2023-12-18,2023-12-18,pending,all,stopped
33,169,ce408c38-dc79-4fb0-b238-627605e37e43,08:22:10,11:24:30,11:38:05,19:16:40,2023-12-19,2023-12-19,pending,all,stopped
34,124,ce408c38-dc79-4fb0-b238-627605e37e43,06:46:07,10:46:01,11:00:03,23:29:56,2023-12-20,2023-12-20,pending,all,stopped
35,28,ce408c38-dc79-4fb0-b238-627605e37e43,12:40:23,15:16:32,05:32:29,23:17:25,2023-12-21,2023-12-21,pending,all,stopped
36,89,ce408c38-dc79-4fb0-b238-627605e37e43,11:20:23,15:48:52,22:53:49,23:10:02,2023-12-22,2023-12-22,pending,all,stopped
37,138,0e99fa86-c84b-47a7-b600-a20cc63e99dd,04:36:28,04:46:57,00:53:10,05:49:06,2024-02-28,2024-02-28,pending,all,stopped
38,40,0e99fa86-c84b-47a7-b600-a20cc63e99dd,08:22:46,16:09:21,06:31:06,18:53:39,2024-02-29,2024-02-29,pending,all,stopped
39,56,0e99fa86-c84b-47a7-b600-a20cc63e99dd,09:14:39,13:24:03,06:58:16,20:24:22,2024-03-01,2024-03-01,pending,all,stopped
40,135,0e99fa86-c84b-47a7-b600-a20cc63e99dd,13:33:15,23:00:38,00:55:14,02:09:19,2024-03-02,2024-03-02,pending,all,stopped
