id,company_id,Brand,number_bus,number_passenger,status,purchase_date,purchase_price,lifespan_years,bus_consumption,fuel_consumption
44fdcb42-7605-41ec-91ec-e7500c9361f0,b7d22008-1a17-452d-a360-de5bbdbd773f,Howell LLC,H10136,30,available,2021-10-19,33533,8,7,7
03b51817-c665-44a0-8d68-bdcea21fe266,b7d22008-1a17-452d-a360-de5bbdbd773f,Manning-Knapp,R10070,30,available,2020-06-13,13999,6,7,6
da06eeb4-7100-449e-9a61-ecd9b6fad942,b7d22008-1a17-452d-a360-de5bbdbd773f,Leon PLC,I97064,30,available,2020-08-12,34852,9,5,6
691e5e15-4193-40ac-b447-75a1c5e9c45e,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hudson, Powell and Costa",R77383,30,available,2023-03-02,74806,5,9,7
408581da-6aaf-48cd-afbc-9d6069af5fe9,b7d22008-1a17-452d-a360-de5bbdbd773f,Francis-Jensen,X82284,30,available,2021-01-27,41432,6,9,7
d597a378-90a5-472d-bcd2-7c389db1b27b,b7d22008-1a17-452d-a360-de5bbdbd773f,Williams-Brady,O96759,30,available,2022-07-29,82125,10,5,10
21893bc1-471a-4291-b806-a5f622e6e7dc,b7d22008-1a17-452d-a360-de5bbdbd773f,Campbell Inc,M24966,30,available,2020-07-23,75041,5,6,5
eda785ea-7228-4815-9805-66387927c722,b7d22008-1a17-452d-a360-de5bbdbd773f,Mcgrath-Joseph,S99025,30,available,2020-05-29,86443,9,6,5
2146d1b0-09fa-47cb-b006-aa455649fa86,b7d22008-1a17-452d-a360-de5bbdbd773f,Figueroa Ltd,E22252,30,available,2021-06-19,21952,5,10,5
af4eb6ea-589f-4f54-9389-5b377882556f,b7d22008-1a17-452d-a360-de5bbdbd773f,Larson-Miller,Z92325,30,available,2020-11-29,13167,9,8,6
fa1141a0-9f86-4c4a-8167-7d88f1e6ad85,b7d22008-1a17-452d-a360-de5bbdbd773f,Rhodes and Sons,B74566,30,available,2023-08-30,69849,6,10,9
8cda7e9f-6367-4847-9539-95b3c0533dd1,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hobbs, Clark and Manning",G84475,30,available,2023-03-07,45177,8,7,8
6a8e5ad1-e375-4c82-adc3-b8f1dd4bcd21,b7d22008-1a17-452d-a360-de5bbdbd773f,Flynn-Wheeler,T08155,30,available,2023-11-28,59801,5,5,9
216b1573-b0bd-4bef-9d82-699b24fa60a4,b7d22008-1a17-452d-a360-de5bbdbd773f,Carter Inc,J19332,30,available,2020-09-25,47110,7,7,10
73d51f20-6e6c-4dbf-ab36-5962165c5633,b7d22008-1a17-452d-a360-de5bbdbd773f,"Carter, Yoder and Rich",O06979,30,available,2024-06-21,31736,8,5,5
9a45be48-7382-4dca-9816-a9e4d7d4333c,b7d22008-1a17-452d-a360-de5bbdbd773f,Jackson LLC,N83734,30,available,2020-05-13,80046,10,5,5
f483c453-3f0c-46d6-9222-5941f14d023b,b7d22008-1a17-452d-a360-de5bbdbd773f,Cain Ltd,E26770,30,available,2020-08-13,87194,7,8,9
5368b067-f53c-406b-9b59-943b0a620cd9,b7d22008-1a17-452d-a360-de5bbdbd773f,Morales Inc,E21030,30,available,2024-01-01,39256,10,9,9
cec3ddbb-6bec-46f6-a82f-ac60a42ac9ea,b7d22008-1a17-452d-a360-de5bbdbd773f,Collins-Mejia,E27914,30,available,2022-12-01,59339,9,9,10
aa5002f0-e66c-4e5b-84c2-c92c961078fa,b7d22008-1a17-452d-a360-de5bbdbd773f,Navarro and Sons,U17443,30,available,2020-03-28,32634,6,8,6
29dc6e81-d5f8-4476-956b-6af9e259c3f2,b7d22008-1a17-452d-a360-de5bbdbd773f,Watkins-Wilson,S57641,30,available,2024-05-17,91876,6,7,8
3b8a9091-4c71-432c-9319-1b9744486bad,b7d22008-1a17-452d-a360-de5bbdbd773f,Wilson-Frank,Z48569,30,available,2023-09-25,25196,5,7,9
9d2a7e1f-5446-4070-9726-9f058f133091,b7d22008-1a17-452d-a360-de5bbdbd773f,Livingston-Combs,D22550,30,available,2024-04-25,39229,5,8,5
54b82c8c-9625-4d98-96df-874f89cdb22f,b7d22008-1a17-452d-a360-de5bbdbd773f,Hernandez-Weaver,W23931,30,available,2023-05-24,89660,5,7,10
