id,bus__trip_id,breaks_trip_id,status
2,2,472,pending
3,2,473,pending
4,2,474,pending
5,3,367,pending
6,3,368,pending
7,3,369,pending
8,4,490,pending
9,4,491,pending
10,4,492,pending
11,5,286,pending
12,5,287,pending
13,5,288,pending
14,6,277,pending
15,6,278,pending
16,6,279,pending
17,7,157,pending
18,7,158,pending
19,7,159,pending
20,8,394,pending
21,8,395,pending
22,8,396,pending
23,9,586,pending
24,9,587,pending
25,9,588,pending
26,10,283,pending
27,10,284,pending
28,10,285,pending
29,11,358,pending
30,11,359,pending
31,11,360,pending
32,12,439,pending
33,12,440,pending
34,12,441,pending
35,13,88,pending
36,13,89,pending
37,13,90,pending
38,14,577,pending
39,14,578,pending
40,14,579,pending
41,15,31,pending
42,15,32,pending
43,15,33,pending
44,16,247,pending
45,16,248,pending
46,16,249,pending
47,17,559,pending
48,17,560,pending
49,17,561,pending
50,18,40,pending
51,18,41,pending
52,18,42,pending
53,19,211,pending
54,19,212,pending
55,19,213,pending
56,20,448,pending
57,20,449,pending
58,20,450,pending
59,21,10,pending
60,21,11,pending
61,21,12,pending
62,22,22,pending
63,22,23,pending
64,22,24,pending
65,23,175,pending
66,23,176,pending
67,23,177,pending
68,24,256,pending
69,24,257,pending
70,24,258,pending
71,25,373,pending
72,25,374,pending
73,25,375,pending
74,26,343,pending
75,26,344,pending
76,26,345,pending
77,27,502,pending
78,27,503,pending
79,27,504,pending
80,28,115,pending
81,28,116,pending
82,28,117,pending
83,29,106,pending
84,29,107,pending
85,29,108,pending
86,30,493,pending
87,30,494,pending
88,30,495,pending
89,31,34,pending
90,31,35,pending
91,31,36,pending
92,32,514,pending
93,32,515,pending
94,32,516,pending
95,33,502,pending
96,33,503,pending
97,33,504,pending
98,34,367,pending
99,34,368,pending
100,34,369,pending
101,35,79,pending
102,35,80,pending
103,35,81,pending
104,36,262,pending
105,36,263,pending
106,36,264,pending
107,37,409,pending
108,37,410,pending
109,37,411,pending
110,38,115,pending
111,38,116,pending
112,38,117,pending
113,39,163,pending
114,39,164,pending
115,39,165,pending
116,40,400,pending
117,40,401,pending
118,40,402,pending
119,41,541,pending
120,41,542,pending
121,41,543,pending
122,42,163,pending
123,42,164,pending
124,42,165,pending
125,43,214,pending
126,43,215,pending
127,43,216,pending
128,44,154,pending
129,44,155,pending
130,44,156,pending
131,45,238,pending
132,45,239,pending
133,45,240,pending
134,46,400,pending
135,46,401,pending
136,46,402,pending
137,47,529,pending
138,47,530,pending
139,47,531,pending
140,48,316,pending
141,48,317,pending
142,48,318,pending
143,49,238,pending
144,49,239,pending
145,49,240,pending
146,50,526,pending
147,50,527,pending
148,50,528,pending
149,51,310,pending
150,51,311,pending
151,51,312,pending
152,52,130,pending
153,52,131,pending
154,52,132,pending
155,53,541,pending
156,53,542,pending
157,53,543,pending
158,54,547,pending
159,54,548,pending
160,54,549,pending
161,55,145,pending
162,55,146,pending
163,55,147,pending
164,56,208,pending
165,56,209,pending
166,56,210,pending
167,57,19,pending
168,57,20,pending
169,57,21,pending
170,58,295,pending
171,58,296,pending
172,58,297,pending
173,59,268,pending
174,59,269,pending
175,59,270,pending
176,60,529,pending
177,60,530,pending
178,60,531,pending
179,61,478,pending
180,61,479,pending
181,61,480,pending
182,62,289,pending
183,62,290,pending
184,62,291,pending
185,63,166,pending
186,63,167,pending
187,63,168,pending
188,64,451,pending
189,64,452,pending
190,64,453,pending
191,65,592,pending
192,65,593,pending
193,65,594,pending
194,66,106,pending
195,66,107,pending
196,66,108,pending
197,67,481,pending
198,67,482,pending
199,67,483,pending
200,68,331,pending
201,68,332,pending
202,68,333,pending
203,69,85,pending
204,69,86,pending
205,69,87,pending
206,70,439,pending
207,70,440,pending
208,70,441,pending
209,71,181,pending
210,71,182,pending
211,71,183,pending
212,72,361,pending
213,72,362,pending
214,72,363,pending
215,73,139,pending
216,73,140,pending
217,73,141,pending
218,74,226,pending
219,74,227,pending
220,74,228,pending
221,75,514,pending
222,75,515,pending
223,75,516,pending
224,76,250,pending
225,76,251,pending
226,76,252,pending
227,77,127,pending
228,77,128,pending
229,77,129,pending
230,78,34,pending
231,78,35,pending
232,78,36,pending
233,79,568,pending
234,79,569,pending
235,79,570,pending
236,80,199,pending
237,80,200,pending
238,80,201,pending
239,81,145,pending
240,81,146,pending
241,81,147,pending
242,82,163,pending
243,82,164,pending
244,82,165,pending
245,83,130,pending
246,83,131,pending
247,83,132,pending
248,84,436,pending
249,84,437,pending
250,84,438,pending
251,85,481,pending
252,85,482,pending
253,85,483,pending
254,86,175,pending
255,86,176,pending
256,86,177,pending
257,87,70,pending
258,87,71,pending
259,87,72,pending
260,88,319,pending
261,88,320,pending
262,88,321,pending
263,89,466,pending
264,89,467,pending
265,89,468,pending
266,90,160,pending
267,90,161,pending
268,90,162,pending
269,91,472,pending
270,91,473,pending
271,91,474,pending
272,92,136,pending
273,92,137,pending
274,92,138,pending
275,93,247,pending
276,93,248,pending
277,93,249,pending
278,94,160,pending
279,94,161,pending
280,94,162,pending
281,95,553,pending
282,95,554,pending
283,95,555,pending
284,96,448,pending
285,96,449,pending
286,96,450,pending
287,97,232,pending
288,97,233,pending
289,97,234,pending
290,98,85,pending
291,98,86,pending
292,98,87,pending
293,99,106,pending
294,99,107,pending
295,99,108,pending
296,100,160,pending
297,100,161,pending
298,100,162,pending
299,101,238,pending
300,101,239,pending
301,101,240,pending
302,102,571,pending
303,102,572,pending
304,102,573,pending
305,103,544,pending
306,103,545,pending
307,103,546,pending
308,104,271,pending
309,104,272,pending
310,104,273,pending
311,105,307,pending
312,105,308,pending
313,105,309,pending
314,106,154,pending
315,106,155,pending
316,106,156,pending
317,107,388,pending
318,107,389,pending
319,107,390,pending
320,108,76,pending
321,108,77,pending
322,108,78,pending
323,109,82,pending
324,109,83,pending
325,109,84,pending
326,110,529,pending
327,110,530,pending
328,110,531,pending
329,111,334,pending
330,111,335,pending
331,111,336,pending
332,112,190,pending
333,112,191,pending
334,112,192,pending
335,113,460,pending
336,113,461,pending
337,113,462,pending
338,114,205,pending
339,114,206,pending
340,114,207,pending
341,115,88,pending
342,115,89,pending
343,115,90,pending
344,116,409,pending
345,116,410,pending
346,116,411,pending
347,117,556,pending
348,117,557,pending
349,117,558,pending
350,118,529,pending
351,118,530,pending
352,118,531,pending
353,119,220,pending
354,119,221,pending
355,119,222,pending
356,120,61,pending
357,120,62,pending
358,120,63,pending
359,121,535,pending
360,121,536,pending
361,121,537,pending
362,122,445,pending
363,122,446,pending
364,122,447,pending
365,123,58,pending
366,123,59,pending
367,123,60,pending
368,124,259,pending
369,124,260,pending
370,124,261,pending
371,125,517,pending
372,125,518,pending
373,125,519,pending
374,126,526,pending
375,126,527,pending
376,126,528,pending
377,127,121,pending
378,127,122,pending
379,127,123,pending
380,128,463,pending
381,128,464,pending
382,128,465,pending
383,129,484,pending
384,129,485,pending
385,129,486,pending
386,130,580,pending
387,130,581,pending
388,130,582,pending
389,131,556,pending
390,131,557,pending
391,131,558,pending
392,132,469,pending
393,132,470,pending
394,132,471,pending
395,133,178,pending
396,133,179,pending
397,133,180,pending
398,134,412,pending
399,134,413,pending
400,134,414,pending
401,135,445,pending
402,135,446,pending
403,135,447,pending
404,136,484,pending
405,136,485,pending
406,136,486,pending
407,137,16,pending
408,137,17,pending
409,137,18,pending
410,138,346,pending
411,138,347,pending
412,138,348,pending
413,139,13,pending
414,139,14,pending
415,139,15,pending
416,140,37,pending
417,140,38,pending
418,140,39,pending
419,141,295,pending
420,141,296,pending
421,141,297,pending
422,142,124,pending
423,142,125,pending
424,142,126,pending
425,143,289,pending
426,143,290,pending
427,143,291,pending
428,144,427,pending
429,144,428,pending
430,144,429,pending
431,145,349,pending
432,145,350,pending
433,145,351,pending
434,146,505,pending
435,146,506,pending
436,146,507,pending
437,147,541,pending
438,147,542,pending
439,147,543,pending
440,148,142,pending
441,148,143,pending
442,148,144,pending
443,149,595,pending
444,149,596,pending
445,149,597,pending
446,150,367,pending
447,150,368,pending
448,150,369,pending
449,151,106,pending
450,151,107,pending
451,151,108,pending
452,152,436,pending
453,152,437,pending
454,152,438,pending
455,153,136,pending
456,153,137,pending
457,153,138,pending
458,154,430,pending
459,154,431,pending
460,154,432,pending
461,155,106,pending
462,155,107,pending
463,155,108,pending
464,156,187,pending
465,156,188,pending
466,156,189,pending
467,157,49,pending
468,157,50,pending
469,157,51,pending
470,158,190,pending
471,158,191,pending
472,158,192,pending
473,159,574,pending
474,159,575,pending
475,159,576,pending
476,160,58,pending
477,160,59,pending
478,160,60,pending
479,161,160,pending
480,161,161,pending
481,161,162,pending
482,162,124,pending
483,162,125,pending
484,162,126,pending
485,163,124,pending
486,163,125,pending
487,163,126,pending
488,164,16,pending
489,164,17,pending
490,164,18,pending
491,165,187,pending
492,165,188,pending
493,165,189,pending
494,166,49,pending
495,166,50,pending
496,166,51,pending
497,167,109,pending
498,167,110,pending
499,167,111,pending
500,168,172,pending
501,168,173,pending
502,168,174,pending
503,169,109,pending
504,169,110,pending
505,169,111,pending
506,170,403,pending
507,170,404,pending
508,170,405,pending
509,171,220,pending
510,171,221,pending
511,171,222,pending
512,172,478,pending
513,172,479,pending
514,172,480,pending
515,173,166,pending
516,173,167,pending
517,173,168,pending
518,174,562,pending
519,174,563,pending
520,174,564,pending
521,175,310,pending
522,175,311,pending
523,175,312,pending
524,176,148,pending
525,176,149,pending
526,176,150,pending
527,177,202,pending
528,177,203,pending
529,177,204,pending
530,178,49,pending
531,178,50,pending
532,178,51,pending
533,179,319,pending
534,179,320,pending
535,179,321,pending
536,180,289,pending
537,180,290,pending
538,180,291,pending
539,181,496,pending
540,181,497,pending
541,181,498,pending
542,182,391,pending
543,182,392,pending
544,182,393,pending
545,183,367,pending
546,183,368,pending
547,183,369,pending
548,184,4,pending
549,184,5,pending
550,184,6,pending
551,185,130,pending
552,185,131,pending
553,185,132,pending
554,186,310,pending
555,186,311,pending
556,186,312,pending
557,187,577,pending
558,187,578,pending
559,187,579,pending
560,188,331,pending
561,188,332,pending
562,188,333,pending
563,189,289,pending
564,189,290,pending
565,189,291,pending
566,190,310,pending
567,190,311,pending
568,190,312,pending
569,191,430,pending
570,191,431,pending
571,191,432,pending
572,192,223,pending
573,192,224,pending
574,192,225,pending
575,193,217,pending
576,193,218,pending
577,193,219,pending
578,194,58,pending
579,194,59,pending
580,194,60,pending
581,195,349,pending
582,195,350,pending
583,195,351,pending
584,196,304,pending
585,196,305,pending
586,196,306,pending
587,197,331,pending
588,197,332,pending
589,197,333,pending
590,198,457,pending
591,198,458,pending
592,198,459,pending
593,199,40,pending
594,199,41,pending
595,199,42,pending
596,200,328,pending
597,200,329,pending
598,200,330,pending
599,201,385,pending
600,201,386,pending
601,201,387,pending
602,202,427,pending
603,202,428,pending
604,202,429,pending
605,203,433,pending
606,203,434,pending
607,203,435,pending
608,204,565,pending
609,204,566,pending
610,204,567,pending
611,205,391,pending
612,205,392,pending
613,205,393,pending
614,206,268,pending
615,206,269,pending
616,206,270,pending
617,207,409,pending
618,207,410,pending
619,207,411,pending
620,208,409,pending
621,208,410,pending
622,208,411,pending
623,209,481,pending
624,209,482,pending
625,209,483,pending
626,210,349,pending
627,210,350,pending
628,210,351,pending
629,211,403,pending
630,211,404,pending
631,211,405,pending
632,212,247,pending
633,212,248,pending
634,212,249,pending
635,213,391,pending
636,213,392,pending
637,213,393,pending
638,214,577,pending
639,214,578,pending
640,214,579,pending
641,215,562,pending
642,215,563,pending
643,215,564,pending
644,216,145,pending
645,216,146,pending
646,216,147,pending
647,217,322,pending
648,217,323,pending
649,217,324,pending
650,218,55,pending
651,218,56,pending
652,218,57,pending
653,219,67,pending
654,219,68,pending
655,219,69,pending
656,220,166,pending
657,220,167,pending
658,220,168,pending
659,221,595,pending
660,221,596,pending
661,221,597,pending
662,222,220,pending
663,222,221,pending
664,222,222,pending
665,223,202,pending
666,223,203,pending
667,223,204,pending
668,224,280,pending
669,224,281,pending
670,224,282,pending
671,225,253,pending
672,225,254,pending
673,225,255,pending
674,226,442,pending
675,226,443,pending
676,226,444,pending
677,227,52,pending
678,227,53,pending
679,227,54,pending
680,228,469,pending
681,228,470,pending
682,228,471,pending
683,229,403,pending
684,229,404,pending
685,229,405,pending
686,230,547,pending
687,230,548,pending
688,230,549,pending
689,231,538,pending
690,231,539,pending
691,231,540,pending
692,232,118,pending
693,232,119,pending
694,232,120,pending
695,233,142,pending
696,233,143,pending
697,233,144,pending
698,234,277,pending
699,234,278,pending
700,234,279,pending
701,235,307,pending
702,235,308,pending
703,235,309,pending
704,236,184,pending
705,236,185,pending
706,236,186,pending
707,237,481,pending
708,237,482,pending
709,237,483,pending
710,238,493,pending
711,238,494,pending
712,238,495,pending
713,239,52,pending
714,239,53,pending
715,239,54,pending
716,240,166,pending
717,240,167,pending
718,240,168,pending
719,241,322,pending
720,241,323,pending
721,241,324,pending
722,242,151,pending
723,242,152,pending
724,242,153,pending
725,243,202,pending
726,243,203,pending
727,243,204,pending
728,244,190,pending
729,244,191,pending
730,244,192,pending
731,245,547,pending
732,245,548,pending
733,245,549,pending
734,246,433,pending
735,246,434,pending
736,246,435,pending
737,247,340,pending
738,247,341,pending
739,247,342,pending
740,248,382,pending
741,248,383,pending
742,248,384,pending
743,249,364,pending
744,249,365,pending
745,249,366,pending
746,250,424,pending
747,250,425,pending
748,250,426,pending
749,251,328,pending
750,251,329,pending
751,251,330,pending
752,252,457,pending
753,252,458,pending
754,252,459,pending
755,253,25,pending
756,253,26,pending
757,253,27,pending
758,254,520,pending
759,254,521,pending
760,254,522,pending
761,255,559,pending
762,255,560,pending
763,255,561,pending
764,256,82,pending
765,256,83,pending
766,256,84,pending
767,257,28,pending
768,257,29,pending
769,257,30,pending
770,258,139,pending
771,258,140,pending
772,258,141,pending
773,259,571,pending
774,259,572,pending
775,259,573,pending
776,260,58,pending
777,260,59,pending
778,260,60,pending
779,261,202,pending
780,261,203,pending
781,261,204,pending
782,262,436,pending
783,262,437,pending
784,262,438,pending
785,263,442,pending
786,263,443,pending
787,263,444,pending
788,264,586,pending
789,264,587,pending
790,264,588,pending
791,265,415,pending
792,265,416,pending
793,265,417,pending
794,266,160,pending
795,266,161,pending
796,266,162,pending
797,267,229,pending
798,267,230,pending
799,267,231,pending
800,268,601,pending
801,268,602,pending
802,268,603,pending
803,269,121,pending
804,269,122,pending
805,269,123,pending
806,270,82,pending
807,270,83,pending
808,270,84,pending
809,271,331,pending
810,271,332,pending
811,271,333,pending
812,272,4,pending
813,272,5,pending
814,272,6,pending
815,273,172,pending
816,273,173,pending
817,273,174,pending
818,274,142,pending
819,274,143,pending
820,274,144,pending
821,275,349,pending
822,275,350,pending
823,275,351,pending
824,276,448,pending
825,276,449,pending
826,276,450,pending
827,277,229,pending
828,277,230,pending
829,277,231,pending
830,278,379,pending
831,278,380,pending
832,278,381,pending
833,279,427,pending
834,279,428,pending
835,279,429,pending
836,280,259,pending
837,280,260,pending
838,280,261,pending
839,281,346,pending
840,281,347,pending
841,281,348,pending
842,282,94,pending
843,282,95,pending
844,282,96,pending
845,283,460,pending
846,283,461,pending
847,283,462,pending
848,284,100,pending
849,284,101,pending
850,284,102,pending
851,285,4,pending
852,285,5,pending
853,285,6,pending
854,286,214,pending
855,286,215,pending
856,286,216,pending
857,287,118,pending
858,287,119,pending
859,287,120,pending
860,288,4,pending
861,288,5,pending
862,288,6,pending
863,289,391,pending
864,289,392,pending
865,289,393,pending
866,290,253,pending
867,290,254,pending
868,290,255,pending
869,291,379,pending
870,291,380,pending
871,291,381,pending
872,292,241,pending
873,292,242,pending
874,292,243,pending
875,293,13,pending
876,293,14,pending
877,293,15,pending
878,294,535,pending
879,294,536,pending
880,294,537,pending
881,295,49,pending
882,295,50,pending
883,295,51,pending
884,296,346,pending
885,296,347,pending
886,296,348,pending
887,297,403,pending
888,297,404,pending
889,297,405,pending
890,298,493,pending
891,298,494,pending
892,298,495,pending
893,299,313,pending
894,299,314,pending
895,299,315,pending
896,300,85,pending
897,300,86,pending
898,300,87,pending
899,301,475,pending
900,301,476,pending
901,301,477,pending
902,302,559,pending
903,302,560,pending
904,302,561,pending
905,303,247,pending
906,303,248,pending
907,303,249,pending
908,304,442,pending
909,304,443,pending
910,304,444,pending
911,305,121,pending
912,305,122,pending
913,305,123,pending
914,306,472,pending
915,306,473,pending
916,306,474,pending
917,307,385,pending
918,307,386,pending
919,307,387,pending
920,308,457,pending
921,308,458,pending
